Pokedex Number,Name,URL,Type1,Type2,Height,Weight,Base HP,Min HP,Max HP,Base Attack,Min Attack,Max Attack,Base Defense,Min Defense,Max Defense,Base Sp. Attack,Min Sp. Attack,Max Sp. Attack,Base Sp. Defense,Min Sp. Defense,Max Sp. Defense,Base Speed,Min Speed,Max Speed,Base Total,Min Total,Max Total,Legendary,Generation
1,Bulbasaur,https://pokemondb.net/pokedex/bulbasaur,Grass,Poison,0.7,6.9,45,200,294,49,92,216,49,92,216,65,121,251,65,121,251,45,85,207,318,711,1435,False,1
2,Ivysaur,https://pokemondb.net/pokedex/ivysaur,Grass,Poison,1.0,13.0,60,230,324,62,116,245,63,117,247,80,148,284,80,148,284,60,112,240,405,871,1624,False,1
3,Venusaur,https://pokemondb.net/pokedex/venusaur,Grass,Poison,2.0,100.0,80,270,364,82,152,289,83,153,291,100,184,328,100,184,328,80,148,284,525,1091,1884,False,1
4,Charmander,https://pokemondb.net/pokedex/charmander,Fire,None,0.6,8.5,39,188,282,52,98,223,43,81,203,60,112,240,50,94,218,65,121,251,309,694,1417,False,1
5,Charmeleon,https://pokemondb.net/pokedex/charmeleon,Fire,None,1.1,19.0,58,226,320,64,119,249,58,108,236,80,148,284,65,121,251,80,148,284,405,870,1624,False,1
6,Charizard,https://pokemondb.net/pokedex/charizard,Fire,Flying,1.7,90.5,78,266,360,84,155,293,78,144,280,109,200,348,85,157,295,100,184,328,534,1106,1904,False,1
7,Squirtle,https://pokemondb.net/pokedex/squirtle,Water,None,0.5,9.0,44,198,292,48,90,214,65,121,251,50,94,218,64,119,249,43,81,203,314,703,1427,False,1
8,Wartortle,https://pokemondb.net/pokedex/wartortle,Water,None,1.0,22.5,59,228,322,63,117,247,80,148,284,65,121,251,80,148,284,58,108,236,405,870,1624,False,1
9,Blastoise,https://pokemondb.net/pokedex/blastoise,Water,None,1.6,85.5,79,268,362,83,153,291,100,184,328,85,157,295,105,193,339,78,144,280,530,1099,1895,False,1
10,Caterpie,https://pokemondb.net/pokedex/caterpie,Bug,None,0.3,2.9,45,200,294,30,58,174,35,67,185,20,40,152,20,40,152,45,85,207,195,490,1164,False,1
11,Metapod,https://pokemondb.net/pokedex/metapod,Bug,None,0.7,9.9,50,210,304,20,40,152,55,103,229,25,49,163,25,49,163,30,58,174,205,509,1185,False,1
12,Butterfree,https://pokemondb.net/pokedex/butterfree,Bug,Flying,1.1,32.0,60,230,324,45,85,207,50,94,218,90,166,306,80,148,284,70,130,262,395,853,1601,False,1
13,Weedle,https://pokemondb.net/pokedex/weedle,Bug,Poison,0.3,3.2,40,190,284,35,67,185,30,58,174,20,40,152,20,40,152,50,94,218,195,489,1165,False,1
14,Kakuna,https://pokemondb.net/pokedex/kakuna,Bug,Poison,0.6,10.0,45,200,294,25,49,163,50,94,218,25,49,163,25,49,163,35,67,185,205,508,1186,False,1
15,Beedrill,https://pokemondb.net/pokedex/beedrill,Bug,Poison,1.0,29.5,65,240,334,90,166,306,40,76,196,45,85,207,80,148,284,75,139,273,395,854,1600,False,1
16,Pidgey,https://pokemondb.net/pokedex/pidgey,Normal,Flying,0.3,1.8,40,190,284,45,85,207,40,76,196,35,67,185,35,67,185,56,105,232,251,590,1289,False,1
17,Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,Normal,Flying,1.1,30.0,63,236,330,60,112,240,55,103,229,50,94,218,50,94,218,71,132,265,349,771,1500,False,1
18,Pidgeot,https://pokemondb.net/pokedex/pidgeot,Normal,Flying,1.5,39.5,83,276,370,80,148,284,75,139,273,70,130,262,70,130,262,101,186,331,479,1009,1782,False,1
19,Rattata,https://pokemondb.net/pokedex/rattata,Normal,None,0.3,3.5,30,170,264,56,105,232,35,67,185,25,49,163,35,67,185,72,134,267,253,592,1296,False,1
20,Raticate,https://pokemondb.net/pokedex/raticate,Normal,None,0.7,18.5,55,220,314,81,150,287,60,112,240,50,94,218,70,130,262,97,179,322,413,885,1643,False,1
21,Spearow,https://pokemondb.net/pokedex/spearow,Normal,Flying,0.3,2.0,40,190,284,60,112,240,30,58,174,31,60,177,31,60,177,70,130,262,262,610,1314,False,1
22,Fearow,https://pokemondb.net/pokedex/fearow,Normal,Flying,1.2,38.0,65,240,334,90,166,306,65,121,251,61,114,243,61,114,243,100,184,328,442,939,1705,False,1
23,Ekans,https://pokemondb.net/pokedex/ekans,Poison,None,2.0,6.9,35,180,274,60,112,240,44,83,205,40,76,196,54,101,227,55,103,229,288,655,1371,False,1
24,Arbok,https://pokemondb.net/pokedex/arbok,Poison,None,3.5,65.0,60,230,324,95,175,317,69,128,260,65,121,251,79,146,282,80,148,284,448,948,1718,False,1
25,Pikachu,https://pokemondb.net/pokedex/pikachu,Electric,None,0.4,6.0,35,180,274,55,103,229,40,76,196,50,94,218,50,94,218,90,166,306,320,713,1441,False,1
26,Raichu,https://pokemondb.net/pokedex/raichu,Electric,None,0.8,30.0,60,230,324,90,166,306,55,103,229,90,166,306,80,148,284,110,202,350,485,1015,1799,False,1
27,Sandshrew,https://pokemondb.net/pokedex/sandshrew,Ground,None,0.6,12.0,50,210,304,75,139,273,85,157,295,20,40,152,30,58,174,40,76,196,300,680,1394,False,1
28,Sandslash,https://pokemondb.net/pokedex/sandslash,Ground,None,1.0,29.5,75,260,354,100,184,328,110,202,350,45,85,207,55,103,229,65,121,251,450,955,1719,False,1
29,Nidoran-f,https://pokemondb.net/pokedex/nidoran-f,Poison,None,0.4,7.0,55,220,314,47,89,212,52,98,223,40,76,196,40,76,196,41,78,199,275,637,1340,False,1
